Skill,Ubicacion_anterior,Ubicacion_final,Estado,Motivo
angular-migration,.claude/skills/angular-migration,.claude/skill-library-archive/integrations/angular-migration,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
anndata,.claude/skills/anndata,.claude/skill-library-archive/integrations/anndata,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
anonyflow-automation,.claude/skills/anonyflow-automation,.claude/skill-library-archive/integrations/anonyflow-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
anthropic-administrator-automation,.claude/skills/anthropic-administrator-automation,.claude/skill-library-archive/integrations/anthropic-administrator-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
anthropic_administrator-automation,.claude/skills/anthropic_administrator-automation,.claude/skill-library-archive/integrations/anthropic_administrator-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
anti-reversing-techniques,.claude/skills/anti-reversing-techniques,.claude/skill-library-archive/experimental/anti-reversing-techniques,archivada,Skill experimental/especializada no prioritaria para la fase MVP.
apaleo-automation,.claude/skills/apaleo-automation,.claude/skill-library-archive/integrations/apaleo-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
apex27-automation,.claude/skills/apex27-automation,.claude/skill-library-archive/integrations/apex27-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
api-bible-automation,.claude/skills/api-bible-automation,.claude/skill-library-archive/integrations/api-bible-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
api-design-patterns,.claude/skills/api-design-patterns,.claude/skills/01-backend/api-design-patterns,activa,Cumple criterios MVP Trading y reduce ruido contextual.
api-design-principles,.claude/skills/api-design-principles,.claude/skills/01-backend/api-design-principles,activa,Cumple criterios MVP Trading y reduce ruido contextual.
api-design-reviewer,.claude/skills/api-design-reviewer,.claude/skill-library-archive/unreviewed/api-design-reviewer,unreviewed,Skill incompleta/superficial o puntero externo no autosuficiente; requiere revisión manual.
api-labz-automation,.claude/skills/api-labz-automation,.claude/skill-library-archive/integrations/api-labz-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
api-ninjas-automation,.claude/skills/api-ninjas-automation,.claude/skill-library-archive/integrations/api-ninjas-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
api-sports-automation,.claude/skills/api-sports-automation,.claude/skill-library-archive/integrations/api-sports-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
api-test-suite-builder,.claude/skills/api-test-suite-builder,.claude/skill-library-archive/unreviewed/api-test-suite-builder,unreviewed,Skill incompleta/superficial o puntero externo no autosuficiente; requiere revisión manual.
api2pdf-automation,.claude/skills/api2pdf-automation,.claude/skill-library-archive/integrations/api2pdf-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
apiflash-automation,.claude/skills/apiflash-automation,.claude/skill-library-archive/integrations/apiflash-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
apify-automation,.claude/skills/apify-automation,.claude/skill-library-archive/integrations/apify-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
apilio-automation,.claude/skills/apilio-automation,.claude/skill-library-archive/integrations/apilio-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
apipie-ai-automation,.claude/skills/apipie-ai-automation,.claude/skill-library-archive/integrations/apipie-ai-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
apitemplate-io-automation,.claude/skills/apitemplate-io-automation,.claude/skill-library-archive/integrations/apitemplate-io-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
apiverve-automation,.claude/skills/apiverve-automation,.claude/skill-library-archive/integrations/apiverve-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
apollo-automation,.claude/skills/apollo-automation,.claude/skill-library-archive/integrations/apollo-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
app-store-optimization,.claude/skills/app-store-optimization,.claude/skill-library-archive/unreviewed/app-store-optimization,unreviewed,Skill incompleta/superficial o puntero externo no autosuficiente; requiere revisión manual.
appcircle-automation,.claude/skills/appcircle-automation,.claude/skill-library-archive/integrations/appcircle-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
appdrag-automation,.claude/skills/appdrag-automation,.claude/skill-library-archive/integrations/appdrag-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
apple-hig-expert,.claude/skills/apple-hig-expert,.claude/skill-library-archive/unreviewed/apple-hig-expert,unreviewed,Skill incompleta/superficial o puntero externo no autosuficiente; requiere revisión manual.
appointo-automation,.claude/skills/appointo-automation,.claude/skill-library-archive/integrations/appointo-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
appsflyer-automation,.claude/skills/appsflyer-automation,.claude/skill-library-archive/integrations/appsflyer-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
appveyor-automation,.claude/skills/appveyor-automation,.claude/skill-library-archive/integrations/appveyor-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
arbor,.claude/skills/arbor,.claude/skill-library-archive/integrations/arbor,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
arboreto,.claude/skills/arboreto,.claude/skill-library-archive/integrations/arboreto,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
architecture-decision-records,.claude/skills/architecture-decision-records,.claude/skills/00-core/architecture-decision-records,activa,Cumple criterios MVP Trading y reduce ruido contextual.
architecture-patterns,.claude/skills/architecture-patterns,.claude/skills/00-core/architecture-patterns,activa,Cumple criterios MVP Trading y reduce ruido contextual.
arquiteto-de-empresa,.claude/skills/arquiteto-de-empresa,.claude/skill-library-archive/unreviewed/arquiteto-de-empresa,unreviewed,Skill incompleta/superficial o puntero externo no autosuficiente; requiere revisión manual.
artifacts-builder,.claude/skills/artifacts-builder,.claude/skill-library-archive/integrations/artifacts-builder,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
aryn-automation,.claude/skills/aryn-automation,.claude/skill-library-archive/integrations/aryn-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
ascora-automation,.claude/skills/ascora-automation,.claude/skill-library-archive/integrations/ascora-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
ashby-automation,.claude/skills/ashby-automation,.claude/skill-library-archive/integrations/ashby-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
asin-data-api-automation,.claude/skills/asin-data-api-automation,.claude/skill-library-archive/integrations/asin-data-api-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
assets,.claude/skills/assets,.claude/skill-library-archive/integrations/assets,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
astica-ai-automation,.claude/skills/astica-ai-automation,.claude/skill-library-archive/integrations/astica-ai-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
astropy,.claude/skills/astropy,.claude/skill-library-archive/integrations/astropy,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
async-interview-automation,.claude/skills/async-interview-automation,.claude/skill-library-archive/integrations/async-interview-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
async-python-patterns,.claude/skills/async-python-patterns,.claude/skills/01-backend/async-python-patterns,activa,Cumple criterios MVP Trading y reduce ruido contextual.
atlassian-admin,.claude/skills/atlassian-admin,.claude/skill-library-archive/unreviewed/atlassian-admin,unreviewed,Skill incompleta/superficial o puntero externo no autosuficiente; requiere revisión manual.
atlassian-automation,.claude/skills/atlassian-automation,.claude/skill-library-archive/integrations/atlassian-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
atlassian-templates,.claude/skills/atlassian-templates,.claude/skill-library-archive/unreviewed/atlassian-templates,unreviewed,Skill incompleta/superficial o puntero externo no autosuficiente; requiere revisión manual.
attack-tree-construction,.claude/skills/attack-tree-construction,.claude/skill-library-archive/integrations/attack-tree-construction,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
audit,.claude/skills/audit,.claude/skill-library-archive/integrations/audit,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
attio-automation,.claude/skills/attio-automation,.claude/skill-library-archive/integrations/attio-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
auth-implementation-patterns,.claude/skills/auth-implementation-patterns,.claude/skill-library-archive/integrations/auth-implementation-patterns,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
auth0-automation,.claude/skills/auth0-automation,.claude/skill-library-archive/integrations/auth0-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
authentication-patterns,.claude/skills/authentication-patterns,.claude/skills/01-backend/authentication-patterns,activa,Cumple criterios MVP Trading y reduce ruido contextual.
autobound-automation,.claude/skills/autobound-automation,.claude/skill-library-archive/integrations/autobound-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
autom-automation,.claude/skills/autom-automation,.claude/skill-library-archive/integrations/autom-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
autoresearch-agent,.claude/skills/autoresearch-agent,.claude/skill-library-archive/unreviewed/autoresearch-agent,unreviewed,Skill incompleta/superficial o puntero externo no autosuficiente; requiere revisión manual.
autoskill,.claude/skills/autoskill,.claude/skill-library-archive/integrations/autoskill,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
avoid-ai-writing,.claude/skills/avoid-ai-writing,.claude/skill-library-archive/content/avoid-ai-writing,archivada,Skill enfocada en creación de contenido no crítica para el núcleo del Trading MVP.
aws-cloud-patterns,.claude/skills/aws-cloud-patterns,.claude/skill-library-archive/cloud-vendors/aws-cloud-patterns,archivada,Skill específica de proveedor cloud no aprobada explícitamente por ADR.
aws-solution-architect,.claude/skills/aws-solution-architect,.claude/skill-library-archive/unreviewed/aws-solution-architect,unreviewed,Skill incompleta/superficial o puntero externo no autosuficiente; requiere revisión manual.
axonaut-automation,.claude/skills/axonaut-automation,.claude/skill-library-archive/integrations/axonaut-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
ayrshare-automation,.claude/skills/ayrshare-automation,.claude/skill-library-archive/integrations/ayrshare-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
azure-cloud-architect,.claude/skills/azure-cloud-architect,.claude/skill-library-archive/unreviewed/azure-cloud-architect,unreviewed,Skill incompleta/superficial o puntero externo no autosuficiente; requiere revisión manual.
backendless-automation,.claude/skills/backendless-automation,.claude/skill-library-archive/integrations/backendless-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
backlink-audit,.claude/skills/backlink-audit,.claude/skill-library-archive/integrations/backlink-audit,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
backtesting-frameworks,.claude/skills/backtesting-frameworks,.claude/skills/02-trading/backtesting-frameworks,activa,Cumple criterios MVP Trading y reduce ruido contextual.
bannerbear-automation,.claude/skills/bannerbear-automation,.claude/skill-library-archive/integrations/bannerbear-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
bart-automation,.claude/skills/bart-automation,.claude/skill-library-archive/integrations/bart-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
base64-payload,.claude/skills/base64-payload,.claude/skill-library-archive/experimental/base64-payload,archivada,Skill experimental/especializada no prioritaria para la fase MVP.
baselinker-automation,.claude/skills/baselinker-automation,.claude/skill-library-archive/dropshipping/baselinker-automation,archivada,Dominio ecommerce/dropshipping fuera del alcance del Trading MVP.
baserow-automation,.claude/skills/baserow-automation,.claude/skill-library-archive/integrations/baserow-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
bash-defensive-patterns,.claude/skills/bash-defensive-patterns,.claude/skill-library-archive/integrations/bash-defensive-patterns,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
basin-automation,.claude/skills/basin-automation,.claude/skill-library-archive/integrations/basin-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
bats-testing-patterns,.claude/skills/bats-testing-patterns,.claude/skill-library-archive/integrations/bats-testing-patterns,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
battlenet-automation,.claude/skills/battlenet-automation,.claude/skill-library-archive/integrations/battlenet-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
bazel-build-optimization,.claude/skills/bazel-build-optimization,.claude/skill-library-archive/integrations/bazel-build-optimization,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
beaconchain-automation,.claude/skills/beaconchain-automation,.claude/skill-library-archive/integrations/beaconchain-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
beaconstac-automation,.claude/skills/beaconstac-automation,.claude/skill-library-archive/integrations/beaconstac-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
beamer-automation,.claude/skills/beamer-automation,.claude/skill-library-archive/integrations/beamer-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
beeminder-automation,.claude/skills/beeminder-automation,.claude/skill-library-archive/integrations/beeminder-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
before-you-build,.claude/skills/before-you-build,.claude/skill-library-archive/integrations/before-you-build,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
behuman,.claude/skills/behuman,.claude/skill-library-archive/unreviewed/behuman,unreviewed,Skill incompleta/superficial o puntero externo no autosuficiente; requiere revisión manual.
bench-automation,.claude/skills/bench-automation,.claude/skill-library-archive/integrations/bench-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
benchling-integration,.claude/skills/benchling-integration,.claude/skill-library-archive/integrations/benchling-integration,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
benchmark-email-automation,.claude/skills/benchmark-email-automation,.claude/skill-library-archive/marketing/benchmark-email-automation,archivada,Skill de marketing/ventas/publicidad fuera del alcance del MVP técnico de trading.
benzinga-automation,.claude/skills/benzinga-automation,.claude/skill-library-archive/integrations/benzinga-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
bestbuy-automation,.claude/skills/bestbuy-automation,.claude/skill-library-archive/dropshipping/bestbuy-automation,archivada,Dominio ecommerce/dropshipping fuera del alcance del Trading MVP.
better-proposals-automation,.claude/skills/better-proposals-automation,.claude/skill-library-archive/integrations/better-proposals-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
better-stack-automation,.claude/skills/better-stack-automation,.claude/skill-library-archive/integrations/better-stack-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
bgpt-paper-search,.claude/skills/bgpt-paper-search,.claude/skill-library-archive/integrations/bgpt-paper-search,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
bids,.claude/skills/bids,.claude/skill-library-archive/integrations/bids,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
bidsketch-automation,.claude/skills/bidsketch-automation,.claude/skill-library-archive/integrations/bidsketch-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
big-data-cloud-automation,.claude/skills/big-data-cloud-automation,.claude/skill-library-archive/integrations/big-data-cloud-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
bigmailer-automation,.claude/skills/bigmailer-automation,.claude/skill-library-archive/integrations/bigmailer-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
bigml-automation,.claude/skills/bigml-automation,.claude/skill-library-archive/integrations/bigml-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
bigpicture-io-automation,.claude/skills/bigpicture-io-automation,.claude/skill-library-archive/integrations/bigpicture-io-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
billing-automation,.claude/skills/billing-automation,.claude/skill-library-archive/integrations/billing-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
binary-analysis-patterns,.claude/skills/binary-analysis-patterns,.claude/skill-library-archive/integrations/binary-analysis-patterns,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
biopython,.claude/skills/biopython,.claude/skill-library-archive/integrations/biopython,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
bioservices,.claude/skills/bioservices,.claude/skill-library-archive/integrations/bioservices,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
bitquery-automation,.claude/skills/bitquery-automation,.claude/skill-library-archive/integrations/bitquery-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
